S.N,Institute Name,District,Approved,Program
1,"Kantipur Institute of Health Science, Pokhara",Kaski,40,Dental Science(Dental Hygiene) (20)
1,"Kaligandaki Technical School, Kawasoti",Nawalparasi (East),18,Diagnostic Radiography (21)
2,"Kalika Medical and Technical Institute, Gaindakot",Nawalparasi (East),27,Diagnostic Radiography (21)
3,"Kantipur Institute of Health Science, Pokhara",Kaski,17,Diagnostic Radiography (21)
4,"Regional College of Health Science and Technology, Pokhara",Kaski,30,Diagnostic Radiography (21)
1,"Bandipur Technical Institute, Bandipur",Tanahun,39,General Medicine (03)
2,"Charak Institute of Health Science, Pokhara",Kaski,40,General Medicine (03)
3,Dhaulagiri Prabidhik Shikshya Pratisthan,Baglung,40,General Medicine (03)
4,"Gandaki Polytechnic Institute, Pokhara",Kaski,40,General Medicine (03)
5,"Gandaki Technical Institute, Pokhara",Kaski,40,General Medicine (03)
6,"Gandaki Technical Training Center, Damauli",Tanahun,37,General Medicine (03)
7,Gorkha Technical Training Center,Gorkha,35,General Medicine (03)
8,"Kaligandaki Technical School, Kawasoti",Nawalparasi (East),40,General Medicine (03)
9,"Kalika Medical and Technical Institute, Gaindakot",Nawalparasi (East),40,General Medicine (03)
10,"Paschimanchal Prabidhik Shikshalay, Shuklagandaki",Tanahun,33,General Medicine (03)
11,"Pioneers Higher Education, Waling",Syangja,32,General Medicine (03)
12,"Pokhara Technical Training and Research Center, Pokhara",Kaski,40,General Medicine (03)
1,Dhaulagiri Prabidhik Shikshya Pratisthan,Baglung,13,Medical Laboratory Technology (05)
2,"Gandaki Technical Institute, Pokhara",Kaski,30,Medical Laboratory Technology (05)
3,Gorkha Science and Technical Education Sahkari Limited,Gorkha,9,Medical Laboratory Technology (05)
4,"Kaligandaki Technical School, Kawasoti",Nawalparasi (East),29,Medical Laboratory Technology (05)
5,"Kalika Medical and Technical Institute, Gaindakot",Nawalparasi (East),30,Medical Laboratory Technology (05)
6,"Kantipur Institute of Health Science, Pokhara",Kaski,30,Medical Laboratory Technology (05)
7,"Paschimanchal Prabidhik Shikshalay, Shuklagandaki",Tanahun,13,Medical Laboratory Technology (05)
8,"Pokhara Technical Training and Research Center, Pokhara",Kaski,30,Medical Laboratory Technology (05)
9,"Regional College of Health Science and Technology, Pokhara",Kaski,30,Medical Laboratory Technology (05)
1,"Charak Institute of Health Science, Pokhara",Kaski,40,Nursing (01)
2,"Fewacity Institute of Medical Science, Pokhara",Kaski,40,Nursing (01)
3,"Fishtail Nursing Campus, Pokhara",Kaski,40,Nursing (01)
4,"Kalika Medical and Technical Institute, Gaindakot",Nawalparasi (East),40,Nursing (01)
1,"Charak Institute of Health Science, Pokhara",Kaski,40,Pharmacy (04)
2,Dhaulagiri Prabidhik Shikshya Pratisthan,Baglung,29,Pharmacy (04)
3,"Gandaki Polytechnic Institute, Pokhara",Kaski,40,Pharmacy (04)
4,"Gandaki Technical Institute, Pokhara",Kaski,37,Pharmacy (04)
5,"Kaligandaki Polytechnic Institute, Puttar",Tanahun,38,Pharmacy (04)
6,"Kalika Medical and Technical Institute, Gaindakot",Nawalparasi (East),37,Pharmacy (04)
7,"Kantipur Institute of Health Science, Pokhara",Kaski,40,Pharmacy (04)
8,"Regional College of Health Science and Technology, Pokhara",Kaski,30,Pharmacy (04)
9,Waling Scholars' Foundation,Syangja,40,Pharmacy (04)
1,"Kaligandaki Polytechnic Institute, Puttar",Tanahun,33,Pharmacy (Special) (34)
1,"Kalika Medical and Technical Institute, Gaindakot",Nawalparasi (East),40,Physiotherapy (32)
1,"Aalamdevi Bahuprabidhik Shikshyalaya, Mirmi",Syangja,12,Civil Engineering (02)
2,"Bhakti Namuna Secondary School, Bhotewodar",Lamjung,4,Civil Engineering (02)
3,Chandra Jyoti Secondary School,Tanahun,1,Civil Engineering (02)
4,"Gandaki Polytechnic Institute, Pokhara",Kaski,18,Civil Engineering (02)
5,"Gorkha Polytechnic Institute, Palungtar",Gorkha,6,Civil Engineering (02)
6,"Janata Secondary School, Magarkot",Nawalparasi (East),26,Civil Engineering (02)
7,"Kisan Polytechnic Institute, Chapakot 10",Syangja,14,Civil Engineering (02)
8,"Madhyanepal Polytechnic School, Sotipasal",Lamjung,24,Civil Engineering (02)
9,"Pokhara Engineering College, Pokhara",Kaski,15,Civil Engineering (02)
1,"Gorkha Polytechnic Institute, Palungtar",Gorkha,15,Civil Engineering (Special) (31)
1,Dhaulagiri Deaf Residential School,Baglung,36,Computer Engineering (09)
2,"Pokhara Engineering College, Pokhara",Kaski,7,Computer Engineering (09)
3,"Siddhartha Secondary School, Phedikhola",Syangja,9,Computer Engineering (09)
1,"Gorkha Polytechnic Institute, Palungtar",Gorkha,1,Geomatics Engineering (15)
1,Aandhikhola Polytechnic Institute,Syangja,10,Information Technology (17)
2,"Kisan Polytechnic Institute, Chapakot 10",Syangja,16,Information Technology (17)
1,"Annapurna Polytechnic Institute, Dhikurpokhari",Kaski,11,Agriculture (Animal Science) (Semester) (59)
2,"Baraha Secondary School, Bhindabari",Kaski,20,Agriculture (Animal Science) (Semester) (59)
3,"Barpak Polytechnic Institute, Saurpani",Gorkha,36,Agriculture (Animal Science) (Semester) (59)
4,"Dhaulagiri  Polytechnic Institute, Balewa",Baglung,12,Agriculture (Animal Science) (Semester) (59)
5,"Hupsekot Technical School, Jhyalbas",Nawalparasi (East),17,Agriculture (Animal Science) (Semester) (59)
6,"Janaganpati Secondary School, Myagde",Tanahun,15,Agriculture (Animal Science) (Semester) (59)
7,"Kisan Polytechnic Institute, Chapakot 10",Syangja,11,Agriculture (Animal Science) (Semester) (59)
8,Kisani Secondary School,Myagdi,17,Agriculture (Animal Science) (Semester) (59)
1,"Annapurna Polytechnic Institute, Dhikurpokhari",Kaski,5,Agriculture (Plant Science)(Semester) (58)
2,"Barpak Polytechnic Institute, Saurpani",Gorkha,29,Agriculture (Plant Science)(Semester) (58)
3,"Dhaulagiri  Polytechnic Institute, Balewa",Baglung,6,Agriculture (Plant Science)(Semester) (58)
4,"Hupsekot Technical School, Jhyalbas",Nawalparasi (East),10,Agriculture (Plant Science)(Semester) (58)
5,Kisani Secondary School,Myagdi,19,Agriculture (Plant Science)(Semester) (58)
6,"Rainas Polytechnic Institute, Rainas",Lamjung,7,Agriculture (Plant Science)(Semester) (58)
1,"Rainas Polytechnic Institute, Rainas",Lamjung,14,Agriculture (Plant Science)(Special Semester) (57)
1,"Dhawalagiri Technical School, Lete",Mustang,21,Hotel Management (16)
2,"Pokhara Technical School, Phulbari",Kaski,40,Hotel Management (16)
1,"Dhawalagiri Technical School, Lete",Mustang,5,Hotel Management (Special) (47)
